name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Papua New Guinea,2002-01-01,33.1,25.1,28.6,36.9,25.1,31,23.4,74.9,0,0,0,,,,,14.8,239.3,1006.7,78.4,11.7,,,,,2002-01-01T05:54:36,2002-01-01T18:34:26,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,92035099999
Papua New Guinea,2002-01-02,32.1,26.1,27.7,35.9,26.1,29.2,22.3,73.3,0,0,0,,,,,24.1,331,1007,91.3,11,,,,,2002-01-02T05:55:08,2002-01-02T18:34:50,0.59,Overcast,Cloudy skies throughout the day.,cloudy,92035099999
Papua New Guinea,2002-01-03,34.1,24.1,29.3,36.9,24.1,31.2,21.8,66.6,0,0,0,,,,,27.7,285.8,1006.9,75,11,,,,,2002-01-03T05:55:40,2002-01-03T18:35:13,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,92035099999
Papua New Guinea,2002-01-04,34.1,25.1,29,36.6,25.1,31,21.6,66,0,0,0,,,,,31.3,297.7,1007.4,79.4,11,,,,,2002-01-04T05:56:12,2002-01-04T18:35:35,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,92035099999
Papua New Guinea,2002-01-05,33.1,25.1,28,36.2,25.1,29.3,21.5,69.2,0,0,0,,,,,27.7,304.4,1008.6,77,11,,,,,2002-01-05T05:56:44,2002-01-05T18:35:57,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,92035099999
Papua New Guinea,2002-01-06,32.1,24.1,27.7,35.6,24.1,29.5,22,72,0,0,0,,,,,25.9,307.3,1008.6,77.4,11,,,,,2002-01-06T05:57:17,2002-01-06T18:36:18,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,92035099999
Papua New Guinea,2002-01-07,32.1,24.1,29.1,36.9,24.1,32.1,22.8,70.1,0,0,0,,,,,25.9,259.1,1007.7,59.1,11,,,,,2002-01-07T05:57:49,2002-01-07T18:36:39,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,92035099999
Papua New Guinea,2002-01-08,32.1,24.1,28.3,36.7,24.1,31.6,23.7,77.5,0,0,0,,,,,25.9,241.2,1008.3,84.1,11,,,,,2002-01-08T05:58:21,2002-01-08T18:36:58,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,92035099999
Papua New Guinea,2002-01-09,31.2,25.7,28.5,35.6,25.7,31.4,23.8,76.4,1,100,4.17,rain,,,,22.3,210.5,1008.5,83.8,17.2,,,,,2002-01-09T05:58:52,2002-01-09T18:37:17,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,92035099999
Papua New Guinea,2002-01-10,30.6,24.1,25.9,35.5,24.1,27.1,24.1,90.3,3.7,100,12.5,rain,,,,16.6,319.1,1008.6,65.7,19.1,,,,,2002-01-10T05:59:24,2002-01-10T18:37:34,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,92035099999
