name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Papua New Guinea,2022-01-01,32,24,27.9,38,24,31,23.9,79.9,0.1,100,4.17,rain,,,37.1,25.9,300.9,1008.7,49.5,12.7,188.1,16.4,6,,2022-01-01T05:54:39,2022-01-01T18:34:28,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2022-01-02,34.1,24,28.3,39.1,24,31.1,23.8,78.5,0.1,100,4.17,rain,,,,27.7,307.1,1007.7,44.4,12.7,207.4,18,8,,2022-01-02T05:55:12,2022-01-02T18:34:52,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2022-01-03,33,25,28.7,39.3,25,32.4,24.3,78.9,0.6,100,12.5,rain,,,37.1,30.2,313.7,1006.4,55.3,13.3,320.1,27.5,10,,2022-01-03T05:55:44,2022-01-03T18:35:15,0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2022-01-04,32,24,27.5,38,24,30,24,82.4,0.1,100,4.17,rain,,,37.1,27.7,312.7,1006.6,45.8,12.7,184.7,15.9,7,,2022-01-04T05:56:16,2022-01-04T18:35:38,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2022-01-05,31,24,27.2,36.6,24,29.5,23.5,81.7,1.1,100,8.33,rain,,,46.4,27.7,317.6,1007,62.7,11.3,225.8,19.5,8,,2022-01-05T05:56:48,2022-01-05T18:35:59,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2022-01-06,31.1,23,26.6,35.3,23,28.4,23.5,83.8,21,100,8.33,rain,,,,30.2,323.6,1008.6,80.6,12.5,146.8,12.8,5,,2022-01-06T05:57:20,2022-01-06T18:36:20,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2022-01-07,32,24,27.5,36.8,24,29.4,22.4,75.2,0.6,100,4.17,rain,,,55.4,37.1,335,1008,84.7,12.1,181.3,15.8,6,,2022-01-07T05:57:53,2022-01-07T18:36:41,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2022-01-08,29,23,24.9,33.6,23,25.7,23.3,91,58.4,100,12.5,rain,,,37.1,27.7,327.3,1008.1,87.2,10.6,132.5,11.6,4,,2022-01-08T05:58:24,2022-01-08T18:37:00,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"92035099999,AYPY"
Papua New Guinea,2022-01-09,32,23,27,36.8,23,29.3,23.1,79.8,3,100,4.17,rain,,,37.1,37.1,324.7,1007.8,69.4,13.8,204.2,17.5,8,,2022-01-09T05:58:56,2022-01-09T18:37:18,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2022-01-10,32,23,27.4,39.3,23,30.2,23.5,80.9,0,0,0,,0,0,37.1,21.1,309.1,1008.3,51.3,12.1,227.6,19.8,8,10,2022-01-10T05:59:28,2022-01-10T18:37:36,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"92035099999,remote,AYPY"
