name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Papua New Guinea,2023-01-01,32,24,27.8,36.8,24,29.4,22.3,73.5,0,0,0,rain,0,0,46.4,42.5,333.4,1008.8,73,12.2,57,5,2,10,2023-01-01T05:54:32,2023-01-01T18:34:23,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"92035099999,AYPY"
Papua New Guinea,2023-01-02,34,23,28.5,38.3,23,30.1,21.6,68.4,0,0,0,,0,0,37.1,27.7,311.8,1008.1,59,13.5,292.4,25.1,10,10,2023-01-02T05:55:04,2023-01-02T18:34:47,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"92035099999,remote,AYPY"
Papua New Guinea,2023-01-03,34,22,28.8,39.4,22,31.3,22.4,70.4,0,0,0,,0,0,27.7,27.7,290.2,1006.7,47.2,14.4,311.3,26.9,10,30,2023-01-03T05:55:36,2023-01-03T18:35:10,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"92035099999,remote,AYPY"
Papua New Guinea,2023-01-04,29,25,27,34.1,25,29.2,23.7,82.6,0.2,100,4.17,rain,0,0,37.1,27.7,326.4,1006.9,85.8,12.3,306.3,26.5,10,30,2023-01-04T05:56:09,2023-01-04T18:35:33,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2023-01-05,34,23,28.3,38.1,23,30.5,22.8,74.6,2,100,4.17,rain,0,0,37.1,18.4,305.6,1006.3,43.9,12.9,303.6,26.3,10,30,2023-01-05T05:56:41,2023-01-05T18:35:55,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"92035099999,AYPY"
Papua New Guinea,2023-01-06,33,24,28.3,37.1,24,30.7,23.1,75.4,0.2,100,8.33,rain,0,0,46.4,37.1,329.2,1006.8,61.5,12.6,293.8,25.6,10,30,2023-01-06T05:57:13,2023-01-06T18:36:16,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2023-01-07,32.7,23,27.3,36.8,23,29.2,22.6,77.4,17,100,4.17,rain,0,0,55.4,37.1,323.6,1008.1,72.1,13.2,58.5,5.1,2,10,2023-01-07T05:57:45,2023-01-07T18:36:36,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2023-01-08,34,24.8,28.6,40.6,24.8,31.6,23.6,75.9,0,0,0,rain,0,0,16.9,27.7,288.5,1008.7,77.2,14.3,285.3,24.6,10,30,2023-01-08T05:58:17,2023-01-08T18:36:56,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"92035099999,remote,AYPY"
Papua New Guinea,2023-01-09,33,24,28.2,38.1,24,30.5,23,75.2,0,0,0,,0,0,9.7,18.4,258.1,1009.6,62.8,13.9,277,23.9,9,10,2023-01-09T05:58:49,2023-01-09T18:37:14,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"92035099999,remote,AYPY"
Papua New Guinea,2023-01-10,30,24,26.3,36.3,24,28,23.6,85.9,15,100,4.17,rain,0,0,14.4,18.4,329.9,1009.3,77.3,14.4,293.5,25.3,10,10,2023-01-10T05:59:21,2023-01-10T18:37:32,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2023-01-11,32,24,27.5,38,24,30,23.8,81.5,0,0,0,rain,0,0,27.7,27.7,309.1,1008.5,61.1,13.2,268.7,23.2,10,10,2023-01-11T05:59:52,2023-01-11T18:37:49,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"92035099999,remote,AYPY"
Papua New Guinea,2023-01-12,31,24,26.3,39.2,24,27.9,24.1,88.6,15.8,100,8.33,rain,0,0,27.7,27.7,305.1,1008.6,70.9,13,288.6,25,10,30,2023-01-12T06:00:23,2023-01-12T18:38:05,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2023-01-13,30,23,25.8,37.5,23,27.3,24.1,90.6,105,100,8.33,rain,0,0,37.1,27.7,332.2,1008.3,64.8,10.6,308.3,26.7,10,30,2023-01-13T06:00:54,2023-01-13T18:38:20,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"92035099999,AYPY"
Papua New Guinea,2023-01-14,32,24,27.3,39.3,24,30.1,23.8,82.1,5,100,4.17,rain,0,0,20.5,27.7,311.5,1006.8,68.6,14.7,278.5,23.9,10,30,2023-01-14T06:01:25,2023-01-14T18:38:35,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2023-01-15,32,24.7,27.7,38,24.7,30.3,24,81.3,2.6,100,8.33,rain,0,0,18.4,18.4,139.4,1006.5,68.1,12.7,299.9,25.9,10,30,2023-01-15T06:01:55,2023-01-15T18:38:48,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2023-01-16,29,23,25.3,34.6,23,26.2,23.8,91.5,13,100,4.17,rain,0,0,22.7,27.7,335.7,1009.6,84,11.7,163.8,14.1,9,30,2023-01-16T06:02:25,2023-01-16T18:39:00,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2023-01-17,33,22,27.1,39.3,22,29.1,22.8,79.6,0.2,100,4.17,rain,0,0,27.7,29.5,314.8,1009.1,35.3,11.9,321,27.6,10,30,2023-01-17T06:02:54,2023-01-17T18:39:12,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"92035099999,AYPY"
Papua New Guinea,2023-01-18,34,22,27.8,43.6,22,30.9,23.3,78.1,0.5,100,4.17,rain,0,0,42.5,20.1,319.2,1006.4,48.9,13.5,323.4,27.9,10,30,2023-01-18T06:03:23,2023-01-18T18:39:22,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2023-01-19,31,23,26.1,36.6,23,27.4,23.5,86.6,4,100,8.33,rain,0,0,55.4,37.1,320.7,1005.4,65.7,13,219.9,19.1,10,30,2023-01-19T06:03:52,2023-01-19T18:39:31,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2023-01-20,32,23,26.7,36.8,23,28.3,22.7,80,9,100,4.17,rain,0,0,46.4,203.8,331.1,1005.8,67,13.4,134.5,11.5,8,30,2023-01-20T06:04:20,2023-01-20T18:39:40,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2023-01-21,39,24,27.3,45.7,24,29,23.3,81,3,100,4.17,rain,0,0,27.7,27.7,315.6,1006.4,65.5,12.7,176.9,15.5,7,10,2023-01-21T06:04:48,2023-01-21T18:39:47,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"92035099999,AYPY"
Papua New Guinea,2023-01-22,31,23,27.4,37.8,23,30.2,23.5,80.8,0,0,0,rain,0,0,37.1,22.3,139,1005.3,54.4,14,304.4,26.2,10,30,2023-01-22T06:05:15,2023-01-22T18:39:54,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"92035099999,remote,AYPY"
Papua New Guinea,2023-01-23,32,24,27.6,39.3,24,30.4,24.3,83.5,1,100,4.17,rain,0,0,18.7,22.3,209.8,1005.1,63.4,13.2,294.2,25.5,10,15,2023-01-23T06:05:42,2023-01-23T18:39:59,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"92035099999,remote,AYPY"
